Name,Season,Ranking,Driving Distance,Driving Accuracy,Club Head Speed,Ball Speed,Spin Rate,Eligible
Jordan Spieth,2018,31,300.3,60.93,113.69,171.01,2321.0,-1.0
Emiliano Grillo,2018,32,295.5,70.05,115.23,169.51,2769.4,-1.0
Andrew Putnam,2018,33,295.3,61.3,113.3,167.35,2668.0,-1.0
Chez Reavie,2018,34,288.2,71.03,108.52,161.03,2452.5,-1.0
C.T. Pan,2018,35,293.7,68.05,111.38,167.65,2664.2,-1.0
Adam Hadwin,2018,36,290.0,65.06,111.73,168.34,2881.2,-1.0
Andrew Landry,2018,37,293.0,63.21,111.17,166.72,2505.4,-1.0
Austin Cook,2018,38,293.1,66.32,111.16,166.44,2518.9,-1.0
Pat Perez,2018,39,293.0,66.45,117.02,168.48,3157.0,-1.0
Brandt Snedeker,2018,40,293.3,62.63,111.32,165.44,2596.1,-1.0
Rafa Cabrera Bello,2018,41,297.1,66.87,112.42,167.6,2465.4,-1.0
Byeong Hun An,2018,42,309.4,59.9,117.39,176.43,2474.0,-1.0
Alex Noren,2018,43,299.9,62.5,117.35,172.99,3049.7,-1.0
Chesson Hadley,2018,44,300.2,59.52,114.28,171.8,2398.2,-1.0
Luke List,2018,45,316.1,54.29,121.45,181.4,3013.6,-1.0
Beau Hossler,2018,46,300.4,60.28,111.39,167.13,2252.7,-1.0
Kevin Kisner,2018,47,291.6,65.63,112.22,164.75,2816.9,-1.0
Brian Harman,2018,48,293.0,67.03,109.81,164.18,2532.1,-1.0
Ryan Armour,2018,49,284.8,72.8,109.23,161.23,2722.0,-1.0
Ian Poulter,2018,50,295.4,67.2,111.56,167.35,2905.0,-1.0
Adam Scott,2018,51,305.7,62.08,120.93,181.41,2895.1,-1.0
Jason Kokrak,2018,52,310.5,57.78,118.15,177.35,2553.1,-1.0
Charles Howell III,2018,53,301.3,62.4,118.08,175.04,2774.9,-1.0
Tyrrell Hatton,2018,54,299.5,60.98,115.91,172.36,2587.3,-1.0
Si Woo Kim,2018,55,291.2,59.67,111.47,166.31,2777.4,-1.0
Brendan Steele,2018,56,311.8,59.47,116.97,174.9,2537.7,-1.0
Henrik Stenson,2018,57,291.7,74.63,116.03,174.7,2844.6,-1.0
Zach Johnson,2018,58,291.0,63.08,109.94,164.03,2556.9,-1.0
Brian Gay,2018,59,284.3,69.67,105.78,157.31,2327.5,-1.0
Abraham Ancer,2018,60,296.3,62.06,111.73,167.33,2540.8,-1.0
Brice Garnett,2018,61,297.1,64.14,112.23,168.58,2538.6,-1.0
J.J. Spaun,2018,62,300.4,65.46,114.81,167.67,2452.3,-1.0
